,Atta (Wheat)_1,Atta (Wheat)_2,Atta (Wheat)_3,Atta (Wheat)_4,Gram Dal_1,Gram Dal_2,Gram Dal_3,Gram Dal_4,Groundnut Oil (Packed)_1,Groundnut Oil (Packed)_2,Groundnut Oil (Packed)_3,Groundnut Oil (Packed)_4,Gur_1,Gur_2,Gur_3,Gur_4,Masoor Dal_1,Masoor Dal_2,Masoor Dal_3,Masoor Dal_4,Milk @_1,Milk @_2,Milk @_3,Milk @_4,Moong Dal_1,Moong Dal_2,Moong Dal_3,Moong Dal_4,Mustard Oil (Packed)_1,Mustard Oil (Packed)_2,Mustard Oil (Packed)_3,Mustard Oil (Packed)_4,Onion_1,Onion_2,Onion_3,Onion_4,Palm Oil (Packed)_1,Palm Oil (Packed)_2,Palm Oil (Packed)_3,Palm Oil (Packed)_4,Potato_1,Potato_2,Potato_3,Potato_4,Rice_1,Rice_2,Rice_3,Rice_4,Salt Pack (Iodised)_1,Salt Pack (Iodised)_2,Salt Pack (Iodised)_3,Salt Pack (Iodised)_4,Soya Oil (Packed)_1,Soya Oil (Packed)_2,Soya Oil (Packed)_3,Soya Oil (Packed)_4,Sugar_1,Sugar_2,Sugar_3,Sugar_4,Sunflower Oil (Packed)_1,Sunflower Oil (Packed)_2,Sunflower Oil (Packed)_3,Sunflower Oil (Packed)_4,Tea Loose_1,Tea Loose_2,Tea Loose_3,Tea Loose_4,Tomato_1,Tomato_2,Tomato_3,Tomato_4,Tur/Arhar Dal_1,Tur/Arhar Dal_2,Tur/Arhar Dal_3,Tur/Arhar Dal_4,Urad Dal_1,Urad Dal_2,Urad Dal_3,Urad Dal_4,Vanaspati (Packed)_1,Vanaspati (Packed)_2,Vanaspati (Packed)_3,Vanaspati (Packed)_4,Wheat_1,Wheat_2,Wheat_3,Wheat_4
2024-01-21,36.81,69,28,35,82.1,133,60,80,189.77,260,124,170,51.26,167,36,50,93.48,133,70,90,57.73,80,40,60,115.78,150,90,115,134.8,235,110,135,34.8,80,19,30,97.38,170,83,90,21.77,70,9,15,43.88,70,26,40,23.06,30,9,28,119.44,180,97,110,44.05,53,38,44,122.32,210,105,115.67,274.11,559,157,280,29.34,70,12,20,151.79,193,87,150,122.9,164,85,120,122.94,220,88,120,31.38,54,21,28
2024-01-22,36.48,69,27,35,83.54,139,60,80,190.6,262,125,180,53.48,167,36,50,93.87,153,70,100,58.35,83,40,60,116.89,157,87,120,135.39,235,110,130,37.31,80,18,30,98.57,176,77,90,23.16,70,9,20,44.31,70,26,40,22.42,31,9,28,121.31,189,97,115,44.57,70,38,45,123.42,235,98,117.5,283.29,560,157,250,32.12,88,11,25,151.36,210,95,150,123.61,175,80,120,124.91,220,88,120,31.16,62,21,28
2024-01-23,36.12,69,27,35,83.03,141,58,80,190.81,262,122,190,53.04,167,36,50,93.86,153,70,100,58.61,83,40,60,116.06,156,87,120,135.54,235,108,130,37.13,80,16,30,98.9,176,77,90,22.89,70,9,20,43.96,70,23,40,22.32,31,9,28,122.61,189,98,110,44.54,70,38,45,124.15,235,98,112,282.29,560,157,200,32.22,88,11,30,149.7,210,87,150,122.94,175,85,120,125.68,220,88,120,31.03,62,21,28
2024-01-24,36.29,69,27,35,82.76,141,58,80,191.46,262,122,190,52.89,167,36,50,93.78,153,70,100,58.67,83,40,60,116.05,180,87,120,136.58,235,108,130,36.8,80,16,30,98.73,176,77,90,22.4,70,8,20,43.68,70,23,40,22.49,31,9,28,123.29,189,98,120,44.56,70,38,45,123.89,235,98,115,281.7,560,157,300,32.2,88,11,25,149,210,87,150,122.33,175,80,120,125.66,220,88,120,31.14,62,21,28
2024-01-25,36.39,69,27,35,82.78,141,58,80,190.67,262,120,190,52.93,167,31,50,93.58,153,70,100,58.87,83,40,60,116.32,180,87,120,136.18,235,109,130,36.49,80,15,30,98.55,176,77,90,22.24,70,8,20,43.67,70,23,40,22.29,31,9,28,121.97,189,95,110,44.63,70,38,45,123.65,235,98,115,282.26,559,157,300,32.41,117,11,30,148.99,207,87,150,122.42,175,80,120,125.06,220,88,120,31.23,54,21,28
2024-01-26,36.58,67,27,35,82,135,60,80,188.1,262,122,180,51.61,167,36,50,93.5,153,70,90,57.82,80,40,60,115.89,155,87,120,134.79,218,110,135,34.59,80,15,30,97.63,175,83,90,21.64,70,8,20,43.96,70,23,40,22.88,31,9,28,120.59,180,95,110,44.29,60,38,45,123.16,225,104,112,277.6,547,157,216.67,30.42,70,11,30,149.74,193,87,145,122.37,164,85,120,123.55,220,88,120,31.29,54,21,28
2024-01-27,36.34,69,27,35,82.7,141,60,80,189.12,262,120,200,52.47,167,36,50,94.02,153,70,100,58.63,80,40,60,116.37,156,87,120,135.26,235,108,130,35.48,80,15,30,98.44,175,77,90,22.04,70,8,20,43.71,70,23,40,22.38,31,9,28,121.14,180,95,130,44.48,70,38,45,123.38,240,98,115,277.14,559,157,300,31.84,80,11,30,150.18,207,87,150,123.29,175,85,120,125.61,220,88,120,31.18,54,21,28
2024-01-28,36.43,69,27,32,81.78,135,60,80,188.64,260,122,200,51.27,167,36,50,93.45,130,70,90,57.35,80,40,60,115.85,155,87,120,134.66,235,108,135,33.41,80,14,30,97.29,150,77,89,21.46,70,8,20,44.09,70,26,38,22.89,30,9,28,120.14,170,95,110,44.02,55,38,44,122.96,240,105,115,273.11,559,157,220,30.57,70,11,30,150.33,193,87,145,122.35,164,85,120,122.57,220,88,120,31.31,54,21,28
2024-01-29,36.3,69,27,35,82.98,141,58,80,190.05,262,120,190,53.08,167,36,47.5,93.78,153,70,100,58.56,83,40,60,116.37,180,87,120,136.31,235,109,130,35.4,80,15,30,98.72,176,77,90,22.37,70,8,20,43.86,70,25,40,22.43,31,9,28,123.1,189,95,110,44.55,70,38,44,123.39,240,98,115,281.74,560,157,300,32.5,88,11,30,149.35,213,87,160,122.66,175,80,120,125.26,220,88,120,31.19,54,21,28
2024-01-30,36.26,69,27,35,82.73,137,60,80,190.51,262,122,190,52.92,167,31,50,93.57,153,70,100,58.65,83,40,60,116.23,180,81,120,136.43,235,108,130,34.94,80,15,30,98.83,176,77,90,22.24,70,8,20,43.79,70,25,40,22.43,31,9,28,123.22,189,95,130,44.54,60,38,44,123.4,240,98,115,281.48,560,157,300,33,88,11,30,148.98,207,87,160,122.74,175,82,120,125,220,88,120,31.13,54,21,28
2024-01-31,36.19,69,27,35,82.83,137,60,80,190.67,262,123,190,52.84,167,31,50,93.55,153,70,100,58.41,83,40,60,116.17,180,81,120,135.78,235,108,130,34.73,80,15,30,98.61,176,77,90,22.29,70,8,20,43.88,70,25,40,22.46,31,9,28,123.39,189,95,130,44.54,70,38,44,123.68,240,98,115,281.5,560,157,300,32.96,88,11,30,148.9,213,87,155,122.65,175,80,120,124.71,220,89,120,31.07,62,21,28
